id	value
0	{"jp": "ホワァイ？", "zh": "为啥？"}
1	{"jp": "オーライオーライ、オマエトスケベシタイデース", "zh": "好啦好啦，想和你这色胚做呢"}
2	{"jp": "決まりだね", "zh": "就这么定了"}
3	{"jp": "Oh！　タノシミデース！！", "zh": "Oh！期待着呢！！"}
4	{"jp": "オチンポ ドキドキ サイクロンネ！", "zh": "大肉棒 扑通扑通 龙卷风呢！"}
5	{"jp": "じゃあ、そこのテトラの影で", "zh": "那么、在那边的四叶草影子里"}
6	{"jp": "Foo コンバット オープン！", "zh": "Foo 战斗 开始！"}
7	{"jp": "アイム ジュンビ ビンビンデース", "zh": "我准备 硬邦邦了呢"}
8	{"jp": "「Oｈ……オチンポ", "zh": "「Oh……大肉棒"}
9	{"jp": "オカシクナルゥゥゥウ」", "zh": "要变得奇怪了呜呜呜」"}
10	{"jp": "「オマエノ", "zh": "「你的"}
11	{"jp": "フェラチオサイコウデース」", "zh": "口交最棒了」"}
12	{"jp": "「オクマデグッポリサイコウデース」", "zh": "「小穴被大力抽插太舒服了」"}
13	{"jp": "「Oh……イエェア」", "zh": "「Oh……好爽啊」"}
14	{"jp": "「ヌルヌルオクチマンコサイコウデース」", "zh": "「黏糊糊的小嘴蜜穴太舒服了」"}
15	{"jp": "「カモーンカモンガール」", "zh": "「来吧来吧女孩」"}
16	{"jp": "「ぢゅぷっ…っ！！ぢゅっぷぷっ！！", "zh": "「滋噗…嗯！！滋噗噗嗯！！"}
17	{"jp": "「ヌホホホホッ」", "zh": "「奴嚯嚯嚯嚯」"}
18	{"jp": "「ンギモヂイイイイ」", "zh": "「嗯咿哦咿咿咿咿」"}
19	{"jp": "「アオンアオンアオーン」", "zh": "「啊嗯啊嗯啊嗯—」"}
20	{"jp": "え…これだけ……？", "zh": "诶…只有这些……？"}
21	{"jp": "ぺっ！！！", "zh": "呸！！！"}
22	{"jp": "すくなっ…", "zh": "好少…"}
23	{"jp": "オーケーオーケー", "zh": "好啦好啦"}
24	{"jp": "オマエワイイカラサンマンエンアゲルヨー", "zh": "因为你这么可爱就给你三万日元吧"}
25	{"jp": "ほんと？ありがと", "zh": "真的？谢谢"}
26	{"jp": "なんか喋り方むかつくけどラッキー", "zh": "虽然说话方式有点讨厌但真走运"}
27	{"jp": "気持ちよかった？", "zh": "舒服吗？"}
28	{"jp": "サイコウ トンガリコーンネ", "zh": "最棒 玉米棒顶到深处了呢"}
29	{"jp": "またお口でして欲しかったら\nお金準備しててね", "zh": "要是还想我用嘴帮你做的话\n可要准备好钱哦"}
30	{"jp": "コンドハオマンコサセロヨ", "zh": "用避孕套 把小肉穴插进来吧"}
31	{"jp": "………（無視", "zh": "………（无视"}
32	{"jp": "オカシクナナルゥゥゥウ」", "zh": "要变得奇怪了啊啊啊啊啊」"}
33	{"jp": "回想実行イベント保管", "zh": "回想执行事件保管"}
34	{"jp": "アナタノオカゲデ ムラムラデス", "zh": "在您的身影下 性奋不已"}
35	{"jp": "オーライオーライ、スケベシタイデース", "zh": "好啦好啦 想当色胚是吧"}
36	{"jp": "「ジライガールノ", "zh": "「自卑女孩的"}
37	{"jp": "不健康そうな味……かな", "zh": "不健康这样的味道……吧"}
38	{"jp": "ありがと", "zh": "谢谢"}
39	{"jp": "イエス イエス イエス！！", "zh": "要 要 要！！"}
