id	value
0	为啥？
1	好啦好啦，想和你这色胚做呢
2	就这么定了
3	Oh！期待着呢！！
4	大肉棒 扑通扑通 龙卷风呢！
5	那么、在那边的四叶草影子里
6	Foo 战斗 开始！
7	我准备 硬邦邦了呢
8	「Oh……大肉棒
9	要变得奇怪了呜呜呜」
10	「你的
11	口交最棒了」
12	「小穴被大力抽插太舒服了」
13	「Oh……好爽啊」
14	「黏糊糊的小嘴蜜穴太舒服了」
15	「来吧来吧女孩」
16	「滋噗…嗯！！滋噗噗嗯！！
17	「奴嚯嚯嚯嚯」
18	「嗯咿哦咿咿咿咿」
19	「啊嗯啊嗯啊嗯—」
20	诶…只有这些……？
21	呸！！！
22	好少…
23	好啦好啦
24	因为你这么可爱就给你三万日元吧
25	真的？谢谢
26	虽然说话方式有点讨厌但真走运
27	舒服吗？
28	最棒 玉米棒顶到深处了呢
29	"要是还想我用嘴帮你做的话
可要准备好钱哦"
30	用避孕套 把小肉穴插进来吧
31	………（无视
32	要变得奇怪了啊啊啊啊啊」
33	回想执行事件保管
34	在您的身影下 性奋不已
35	好啦好啦 想当色胚是吧
36	「自卑女孩的
37	不健康这样的味道……吧
38	谢谢
39	要 要 要！！
